sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,approval_year,original_doc_year,tor_months,delayed,planned_duration_years,cost_overrun_pct,overrun_flag,overrun_ratio,physical_progress
CIVIL AVIATION,OF NEW GREEN FIELD AT HOLLONGI ITANAGAR PRADESH ),645.63,732.0,732.0,693.71,2019,2022.0,,,,13.3776,1,0.133776,99.72
POWER,LOWER H.E.P,6285.33,,,24213.84,2003,2010.0,,,,0.0,0,0.0,96.49
POWER,MULTIPURPOSE PROJECT 2880 PRADESH ),3306.4,,,3306.4,2023,2032.0,0.0,0.0,9.0,0.0,0,0.0,15.74
ROAD TRANSPORT AND HIGHWAYS,OF JORAM KOLORIANG ROAD ON EPC BASIS FROM DESIGN KM. TO KM. 154+036 [EX ) ),180.57,244.1,180.57,160.46,2017,2023.0,,,,35.183,1,0.35183,96.62
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE ROAD WITH FROM KM16.00 OF SECTION TO KM 21.500 OF ) ),1718.59,,1718.59,728.21,2017,2022.0,,,,0.0,0,0.0,73.64
ROAD TRANSPORT AND HIGHWAYS,OF HAYULIANG? HAWAI ROAD ON EPC BASIS FROM KM. 51.825 TO KM. 63.131 EXISTI ) ),256.66,,256.66,0.0,2017,2023.0,,,,0.0,0,0.0,63.59
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANING WITH HARD OF ARROWA-KHUPA- SECTION OF NH-113 FROM ) ),301.06,,301.06,198.22,2020,2022.0,,,,0.0,0,0.0,81.06
ROAD TRANSPORT AND HIGHWAYS,OF 2 LANE ROAD OF PANGIN SECTION OF NH 13 ) ),450.65,,450.65,,2019,2027.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,OF ITANAGAR TO BANDARDEWA OF NH-415 FROM KM 40+430 TO ) ),496.47,,496.47,194.62,2020,2027.0,,,,0.0,0,0.0,42.69
ROAD TRANSPORT AND HIGHWAYS,KOLORIANG ROAD FROM ) ),184.88,,184.88,99.32,2020,2022.0,38.0,1.0,2.0,0.0,0,0.0,97.42
ROAD TRANSPORT AND HIGHWAYS,HAYULIANG PKG-1 ) ),1262.43,,,12.12,2024,2028.0,,,,0.0,0,0.0,2.35
ROAD TRANSPORT AND HIGHWAYS,ITHUN BRIDGE SECTION ) ),275.5,,275.5,7.61,2024,2027.0,,,,0.0,0,0.0,6.01
ROAD TRANSPORT AND HIGHWAYS,JORGING ROAD PKG-1 ) ),898.19,,898.19,7.08,2024,2027.0,,,,0.0,0,0.0,4.06
CIVIL AVIATION,OF NEW INTEGRATED BUILDING AT LGBI AIRPORT ),1142.0,,,1884.13,2016,2021.0,,,,0.0,0,0.0,87.93
COAL,OCP - 0.2 MTY ),159.77,,159.77,81.45,2022,2030.0,,,,0.0,0,0.0,0.0
HEALTH AND FAMILY WELFARE,INSTITUTE OF MEDICAL SCIENCE ASSAM ),875.0,873.92,860.0,787.9,2017,2021.0,49.0,1.0,4.0,0.0,0,0.0,99.52
PETROLEUM,GGS LIFE EXTENSION PROJECT ),198.7,,198.7,99.52,2023,2026.0,,,,0.0,0,0.0,23.8
PETROLEUM,RECOVERY TURBINE IN PFCCU ),293.5,,293.5,97.22,2023,2025.0,,,,0.0,0,0.0,91.0
PETROLEUM,PROJECT ),370.0,,370.0,255.51,2021,2025.0,,,,0.0,0,0.0,56.1
PETROLEUM,NETWORK PROJECT ),344.99,,344.99,172.04,2023,2026.0,0.0,0.0,3.0,0.0,0,0.0,45.3
PETROLEUM,OF SURFACE FACILITIES AND EVACUATION OF AND NATURAL GAS FROM NA ),543.91,726.93,726.93,491.56,2018,2020.0,,,,33.6489,1,0.336489,93.95
PETROLEUM,REFINERY EXPANSION 6 MMTPA REFINARY ),16013.82,,,16013.82,2019,2024.0,14.0,1.0,5.0,0.0,0,0.0,74.01
PETROLEUM,REFINERY EXPANSION COIT AND PIPELINES ),9447.83,,,9447.83,2019,2024.0,11.0,1.0,5.0,0.0,0,0.0,85.06
PETROLEUM,OF GUWAHATI REFINERY TO 1.2 MMTPA ALONG WITH OF CATALYTIC REFORMING ),412.0,595.2,595.2,,2021,2023.0,,,,44.466,1,0.44466,
PETROLEUM,"OF FACILITIES AT EXISTING TERMINAL, ASSAM )",277.0,,277.0,180.17,2022,2026.0,2.0,1.0,4.0,0.0,0,0.0,66.4
PETROLEUM,OF FACILITIES OF PRODUCT PIPELINE TRANSPORTATION OF ADDIT ),860.0,,860.0,535.46,2021,2024.0,,,,0.0,0,0.0,96.5
PETROLEUM,TO CONSTRUCT A FIELD GAS STATION AT BAGHJAN AREA ),430.76,,430.76,319.86,2020,2024.0,,,,0.0,0,0.0,83.66
PETROLEUM,EXPANSION OF DIGBOI FROM 0.65 TO 1.0 MMTPA ),768.0,,768.0,86.75,2022,2025.0,5.0,1.0,3.0,0.0,0,0.0,33.1
PETROLEUM,OF LPG FACILITIES AT ASSAM ),156.36,156.36,156.36,41.02,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,31.5
PETROLEUM,"UP OF NEW RAIL FED POL AT KAMARDANGA, ASSAM )",384.04,,384.04,94.0,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,34.4
ROAD TRANSPORT AND HIGHWAYS,GUWAHATI ROAD PKG-1 ) ),1081.15,,,33.93,2024,2027.0,,,,0.0,0,0.0,2.76
ROAD TRANSPORT AND HIGHWAYS,PKG-1 ) ),957.95,,957.95,,2024,2028.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,GUWAHATI ROAD PKG-2 ) ),1338.61,,,0.5,2023,2027.0,,,,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,? CHURAIBARI PKG-6 ) ),870.0,,870.0,0.0,2024,2027.0,,,,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,- SUTARKANDI SECTION ON PKG-7 ) ),791.79,,791.79,0.0,2024,2027.0,0.0,0.0,3.0,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,OF 4 LANE GAURIPUR ) ),421.15,,421.15,0.0,2024,2026.0,0.0,0.0,2.0,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,OF 2 LANE BARPETA ) ),173.65,,173.65,0.0,2023,2026.0,,,,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,CHURAIBARI PKG-5 ) ),1258.13,,,0.0,2024,2027.0,,,,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,OF 4-LANE PANCHGRAM FROM DESIGN CHAINAGE KM ) ),728.97,,728.97,279.87,2023,2027.0,,,,0.0,0,0.0,42.68
ROAD TRANSPORT AND HIGHWAYS,TO 4-LANE WITH FROM KM 55+000 ) ),665.47,,665.47,183.63,2023,2027.0,,,,0.0,0,0.0,45.53
ROAD TRANSPORT AND HIGHWAYS,OF EXTERNAL TRUNK AND INTERNAL WORKS AT MULTI ) ),592.06,,592.06,,2020,2022.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,VAIRENGTE SAIRANG ROAD PKG- ) ),1716.21,,,983.58,2023,2026.0,,,,0.0,0,0.0,64.03
ROAD TRANSPORT AND HIGHWAYS,OF BADARPUR BYPASS CHAINAGE KM 27+300 AT WITH NH-6 ) ),574.26,,574.26,297.5,2023,2026.0,,,,0.0,0,0.0,54.88
ROAD TRANSPORT AND HIGHWAYS,MAHUR ROAD PKG-7 ) ),846.82,,846.82,404.51,2023,2026.0,,,,0.0,0,0.0,68.8
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE MAJOR BRIDGE APPROACHESOVER BETWEEN MAJULI ON ) ),925.47,,925.47,192.5,2021,2025.0,,,,0.0,0,0.0,30.65
ROAD TRANSPORT AND HIGHWAYS,BRIDGE ) ),746.76,,746.76,335.2,2021,2024.0,,,,0.0,0,0.0,66.96
ROAD TRANSPORT AND HIGHWAYS,KATHKATI PACKAGE-5 ) ),288.85,,288.85,247.76,2021,2023.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG- ) ),286.72,,286.72,158.15,2021,2024.0,,,,0.0,0,0.0,81.63
ROAD TRANSPORT AND HIGHWAYS,PHULBARI BRIDGE WITH ROAD ) ),4997.04,,,,2020,2028.0,0.0,0.0,8.0,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,FROM YAINGANGPOKPI TO FINCH ) ),217.5,,217.5,88.99,2020,2022.0,42.0,1.0,2.0,0.0,0,0.0,68.03
ROAD TRANSPORT AND HIGHWAYS,KATHKATI PACKAGE-6 ) ),625.64,,625.64,556.44,2021,2024.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,OF SRIRAMPUR-DHUBRI PKG- ) ),909.02,,909.02,532.44,2022,2025.0,,,,0.0,0,0.0,98.92
ROAD TRANSPORT AND HIGHWAYS,"FLYOVERS AT RAHA, BORGHAT, KATHIATALI AND ROB AT JAGIROAD ON )",175.0,,175.0,200.8,2022,2022.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,WORK OF 4L OF JUNCTION- ROAD SECTION FROM KM KM 49.23 ),1909.98,,,654.6,2022,2026.0,,,,0.0,0,0.0,77.1
ROAD TRANSPORT AND HIGHWAYS,"FLYOVERS AT CHAPAGURI, PATHSALA, CHOWK AND BAIHATA BYPASS )",457.72,,457.72,366.34,2022,2024.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,- DHUBRI PKG-1 ) ),613.89,,613.89,110.76,2022,2025.0,,,,0.0,0,0.0,35.7
ROAD TRANSPORT AND HIGHWAYS,BYPASS ) ),458.59,,458.59,,2023,2025.0,2.0,1.0,2.0,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,OF MANGALDOI BYPASS AT CH 26+400 AND AT CH 41+505 UNDER RA ) ),535.03,,535.03,102.23,2022,2025.0,,,,0.0,0,0.0,34.15
ROAD TRANSPORT AND HIGHWAYS,AND UPGRADATION TO TWO PAVED SHOULDERS ROAD ) ),890.33,,890.33,454.34,2023,2025.0,,,,0.0,0,0.0,63.7
ROAD TRANSPORT AND HIGHWAYS,TO 4-LANE WITH FROM KM 0+800 ) ),609.16,,609.16,305.73,2023,2026.0,,,,0.0,0,0.0,94.97
ROAD TRANSPORT AND HIGHWAYS,TO 4-LANE WITH FROM KM 27+701 ) ),562.05,,562.05,290.2,2023,2026.0,,,,0.0,0,0.0,95.71
ROAD TRANSPORT AND HIGHWAYS,KATHKATI PACKAGE-7 ) ),204.1,,204.1,143.45,2021,2024.0,,,,0.0,0,0.0,96.02
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG-8 ) ),1457.59,,,,2023,2026.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG-9 ) ),1000.27,,,304.61,2023,2026.0,,,,0.0,0,0.0,27.07
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG-10 ) ),1264.9,,,422.31,2023,2026.0,,,,0.0,0,0.0,25.57
ROAD TRANSPORT AND HIGHWAYS,BYPASS OF DABOKA - PKG -1 ) ),516.88,,516.88,242.91,2023,2025.0,0.0,0.0,2.0,0.0,0,0.0,73.5
ROAD TRANSPORT AND HIGHWAYS,PAVED SHOULDER FROM KM EXISTING DIBRUGARH ) ),356.65,,356.65,129.18,2023,2025.0,,,,0.0,0,0.0,16.28
ROAD TRANSPORT AND HIGHWAYS,OF HAPACHARA - TULUNGIA ) ),220.2,,220.2,217.18,2020,2022.0,18.0,1.0,2.0,0.0,0,0.0,97.76
ROAD TRANSPORT AND HIGHWAYS,OF JORHAT TO JHANJI SECTION TO KM 454.240) ) ),437.39,,437.39,574.56,2015,2023.0,,,,0.0,0,0.0,96.95
ROAD TRANSPORT AND HIGHWAYS,OF JHANJHI JN TO DEMOW FROM KM. 491.050 TO KM. KM 490.800 TO KM 5 ) ),463.49,,463.49,515.52,2015,2024.0,,,,0.0,0,0.0,76.95
ROAD TRANSPORT AND HIGHWAYS,FROM JAMUGURI TO BISWANATH FROM KM 182 TO KM 208 OF NH- ) ),520.01,,520.01,,1991,2019.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,FROM RANGAGARA TO TINALI FROM KM 297.00 TO KM NH-37 ON EPC BASIS. ) ),289.99,,289.99,233.23,2015,2018.0,,,,0.0,0,0.0,88.03
ROAD TRANSPORT AND HIGHWAYS,OF NH-37 SECTION BETWEEN TO END OF MORAN BYPASS KM. 534.800 TO KM. 561.700) O ) ),294.17,,294.17,389.75,2016,2016.0,,,,0.0,0,0.0,97.88
ROAD TRANSPORT AND HIGHWAYS,OF NH 37 SECTION BETWEEN MORAN BYPASS TO BOGIBEEL ) ),252.0,,330.3,219.65,2016,2021.0,,,,31.0714,1,0.310714,91.31
CIVIL AVIATION,"OF NEW INTEGRATED BUILDING, CONTROL TOWER BLOCK, APRON, LINK TAX )",499.0,,499.0,154.47,2021,2024.0,,,,0.0,0,0.0,40.36
RAILWAYS,TO IMPHAL,15338.76,,,15338.76,2003,2026.0,,,,0.0,0,0.0,69.0
ROAD TRANSPORT AND HIGHWAYS,OF CHURACHANDPUR TUIVAI ) ),177.76,,177.76,,2020,2022.0,34.0,1.0,2.0,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE TO 4-LANE DIVIDED FROM TAPHOU KUKI TO DAILI ) ),379.39,,379.39,218.03,2020,2022.0,,,,0.0,0,0.0,70.31
ROAD TRANSPORT AND HIGHWAYS,- KHONGSANG PKG-5 ) ),410.68,,410.68,147.81,2021,2024.0,,,,0.0,0,0.0,68.79
ROAD TRANSPORT AND HIGHWAYS,- KHONGSANG PKG-6 ) ),504.76,,504.76,183.15,2021,2025.0,,,,0.0,0,0.0,76.52
ROAD TRANSPORT AND HIGHWAYS,- JESSAMI SECTION PKG-2 ) ),152.11,,152.11,73.48,2022,2025.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,- KHONGSANG PKG-4 ) ),579.63,,579.63,172.65,2021,2023.0,,,,0.0,0,0.0,72.0
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANING WITH HARD ROAD OF UKHRUL - TOLOI - OF NH-102A FROM ) ),310.76,,310.76,129.15,2021,2024.0,,,,0.0,0,0.0,96.77
ROAD TRANSPORT AND HIGHWAYS,- PEREN PKG-1A ) ),226.32,,226.32,105.78,2021,2022.0,,,,0.0,0,0.0,74.48
ROAD TRANSPORT AND HIGHWAYS,- PEREN,188.36,,188.36,,2021,2022.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-3 ) ),234.08,,234.08,139.45,2021,2022.0,,,,0.0,0,0.0,92.82
ROAD TRANSPORT AND HIGHWAYS,- PEREN PKG-3 ) ),467.41,,467.41,264.83,2021,2023.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-5 ) ),477.86,,477.86,246.09,2021,2023.0,,,,0.0,0,0.0,84.6
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-6 ) ),311.18,,311.18,190.96,2021,2023.0,,,,0.0,0,0.0,83.5
ROAD TRANSPORT AND HIGHWAYS,IMPHAL PKG-5B ) ),211.7,,211.7,83.79,2021,2023.0,,,,0.0,0,0.0,70.72
ROAD TRANSPORT AND HIGHWAYS,- KHONGSANG PKG-3 ) ),467.0,,467.0,193.81,2021,2023.0,,,,0.0,0,0.0,77.8
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-1 ) ),185.8,,185.8,117.78,2021,2023.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-2 ) ),483.87,,483.87,278.89,2021,2023.0,,,,0.0,0,0.0,92.94
ROAD TRANSPORT AND HIGHWAYS,- MAHUR PKG-4 ) ),198.77,,198.77,127.86,2021,2023.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,TUIVAI PKG-3 ) ),673.27,,673.27,,2021,2023.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,TOLOI TADUBI PKG-2 ) ),578.98,,578.98,153.92,2023,2026.0,,,,0.0,0,0.0,71.25
ROAD TRANSPORT AND HIGHWAYS,KHULLEN TO JESSAMI SECTION KM 95.700 TO KM 14 ) ),554.66,,554.66,17.79,2023,2026.0,,,,0.0,0,0.0,11.93
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG-4B ) ),268.98,,268.98,13.14,2020,2026.0,,,,0.0,0,0.0,15.9
ROAD TRANSPORT AND HIGHWAYS,- KHONGSANG - JIRIBAM PKG-2 ) ),195.14,,195.14,0.0,2021,2026.0,,,,0.0,0,0.0,7.19
ROAD TRANSPORT AND HIGHWAYS,TO JIRIBAM PKG-7 ) ),760.16,,760.16,148.98,2023,2025.0,,,,0.0,0,0.0,60.6
ROAD TRANSPORT AND HIGHWAYS,ROAD PKG-5A ) ),228.97,,228.97,0.0,2020,2026.0,,,,0.0,0,0.0,5.96
ROAD TRANSPORT AND HIGHWAYS,TO LAYNEN BRIDGE UKHRUL - PKG-7 ) ),164.89,,164.89,1.46,2023,2026.0,0.0,0.0,3.0,0.0,0,0.0,6.5
ROAD TRANSPORT AND HIGHWAYS,TO MARREM KHULLEN SECTION UKHRUL - JESSAMI PKG-5 ) ),564.05,,564.05,0.0,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,0.0
DEPARTMENT OF HIGHER EDUCATION,AND DEVELOPMENT OF INSTITUTE OF TECHNOLOGY PERMANENT CAMPUS AT HIGHER ) ),484.32,429.7,494.52,,2013,2014.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,PKG-1B ) ),705.83,,705.83,0.31,2023,2027.0,,,,0.0,0,0.0,1.55
ROAD TRANSPORT AND HIGHWAYS,BAGHMARA ) ),157.86,146.92,157.86,152.95,2020,2022.0,34.0,1.0,2.0,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,AND WIDENING TWO WITH PAVED SHOULDER OF HIGHWAY 127B FROM KM 31.500 ) ),504.0,,504.0,0.0,2023,2027.0,,,,0.0,0,0.0,0.0
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF SHILLONG WESTERN STARTING FROM NH-06 NEAR ) ),620.3,,620.3,221.86,2023,2026.0,,,,0.0,0,0.0,28.0
ROAD TRANSPORT AND HIGHWAYS,WESTERN BYPASS PACKAGE-2 ) ),686.0,,686.0,292.69,2023,2026.0,,,,0.0,0,0.0,25.52
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF SHILLONG WESTERN STARTING FROM NH-06 NEAR LADU ) ),562.48,,562.48,297.79,2023,2026.0,,,,0.0,0,0.0,24.0
ROAD TRANSPORT AND HIGHWAYS,TO 2-LANE WITH KM 63.530) BETWEEN SHIL ) ),445.51,,445.51,207.2,2020,2023.0,,,,0.0,0,0.0,26.0
ROAD TRANSPORT AND HIGHWAYS,TO 2-LANE WITH / 4-LANING FROM KM 63.530 TO KM 71.520) B ) ),284.21,,284.21,,2020,2023.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,AND UP GRADATION OF ROAD UP BORDER FROM ) ),359.86,,359.86,233.26,2021,2024.0,,,,0.0,0,0.0,87.0
ROAD TRANSPORT AND HIGHWAYS,AND UPGRADATION OF TO WAHKAJI SECTION OF ROAD KM 0.000 TO KM 43.06 ) ),302.88,,302.88,228.68,2020,2022.0,,,,0.0,0,0.0,96.0
ROAD TRANSPORT AND HIGHWAYS,MAHESHKHOLA- BAGHMARA ) ),283.5,,283.5,257.26,2021,2024.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,TO 2-L WITH ) ),351.12,,351.12,295.88,2020,2023.0,,,,0.0,0,0.0,62.5
ROAD TRANSPORT AND HIGHWAYS,TO 2-LANE WITH KM 37.550) BETWEEN SHIL ) ),525.68,,525.68,434.11,2020,2023.0,,,,0.0,0,0.0,31.0
ROAD TRANSPORT AND HIGHWAYS,TO 2-LANE WITH GEOMETRIC OF TURA DALU ROAD FUNDING FROM KM 85.000 T ) ),553.51,610.09,553.51,432.78,2017,2021.0,,,,10.222,1,0.10222,92.01
RAILWAYS,"SAIRONG, NL, NEFR )",6527.45,,8213.72,8001.88,2008,2025.0,,,,25.8335,1,0.258335,97.0
ROAD TRANSPORT AND HIGHWAYS,AND UP-GRADATION TO 2-LANE SHOULDER CONFIGURATION IMPROVEMENTS FRO ) ),428.11,,746.39,613.69,2017,2023.0,,,,74.3454,1,0.743454,98.7
ROAD TRANSPORT AND HIGHWAYS,OF TWO LANE WITH OF SELLING-DULTE ) ),292.24,,331.17,,2020,2022.0,,,,13.3212,1,0.133212,
ROAD TRANSPORT AND HIGHWAYS,- TUVAI PKG-3 ) ),500.88,,500.88,263.48,2021,2025.0,,,,0.0,0,0.0,68.8
ROAD TRANSPORT AND HIGHWAYS,TO 2-LANE WITH PAVED OF NGOPA - PAWLRANG OF NH 102B OF AIZAWL - IMPHA ) ),523.78,,523.78,366.81,2021,2025.0,,,,0.0,0,0.0,80.51
ROAD TRANSPORT AND HIGHWAYS,- CHAMPAI PKG.2 ) ),233.25,,233.25,172.09,2021,2022.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,- LUNGLEI PKG-A ) ),698.44,,698.45,496.84,2021,2022.0,,,,0.0014,1,1.4e-05,59.4
ROAD TRANSPORT AND HIGHWAYS,- LUNGLEI PKG-B ) ),740.58,,740.58,364.34,2021,2023.0,,,,0.0,0,0.0,57.4
ROAD TRANSPORT AND HIGHWAYS,- TUVAI PKG-1 ) ),492.94,,492.94,365.86,2021,2023.0,,,,0.0,0,0.0,90.5
ROAD TRANSPORT AND HIGHWAYS,HMAWNGBU-LONGMASU,781.85,,781.85,33.56,2023,2026.0,,,,0.0,0,0.0,3.0
PETROLEUM,"OF DIMAPUR DEPOT, )",227.62,,227.62,6.12,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,18.0
RAILWAYS,FROM DIMAPUR TO NATIONAL PROJECT ),6663.2,,6663.2,4789.15,2006,2026.0,,,,0.0,0,0.0,73.0
ROAD TRANSPORT AND HIGHWAYS,SECTION PKG-2 ) ),258.52,,258.52,89.46,2021,2023.0,,,,0.0,0,0.0,79.7
ROAD TRANSPORT AND HIGHWAYS,TO 2 LANE WITH HARD OF AKEGWO-AVANGKHU OF NH-202K FOR PACKAGE-I CH ) ),430.24,,430.24,100.51,2022,2026.0,,,,0.0,0,0.0,54.28
ROAD TRANSPORT AND HIGHWAYS,TO 2 LANE WITH HARD OF AKEGWO-AVANGKHU OF NH-202K FOR PACKAGE-II C ) ),442.54,,442.54,50.6,2022,2026.0,,,,0.0,0,0.0,26.58
ROAD TRANSPORT AND HIGHWAYS,TO 2 LANE WITH HARD OF AKEGWO-AVANGKHU OF NH-202K FOR PACKAGE-III ) ),497.18,,497.18,163.84,2022,2026.0,,,,0.0,0,0.0,62.02
ROAD TRANSPORT AND HIGHWAYS,OF EXISTING SINGLE LANE / LANE ROAD TO 2 LANE 101 TO KM 125 OF NH 61 I ) ),252.19,,252.19,14.25,2020,2024.0,,,,0.0,0,0.0,17.9
ROAD TRANSPORT AND HIGHWAYS,TO EXISTING SINGLE LANE LANE TO 2 LANE FROM ) ),297.24,,297.24,137.76,2021,2024.0,,,,0.0,0,0.0,79.47
ROAD TRANSPORT AND HIGHWAYS,TO EXISTING RANE TO 2 LANE 135 TO KM 147 AND FROM KM ) ),226.44,,226.44,140.24,2021,2024.0,,,,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,OF EXISTING SINGLE LANE INTERMEDIATE LANE ROAD TO CHARE VIA DIKHU ) ),192.93,,192.93,,2021,2025.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,PKG-3 ) ),177.77,199.02,199.02,46.94,2021,2025.0,,,,11.9536,1,0.119536,61.25
ROAD TRANSPORT AND HIGHWAYS,OF DIMAPUR KOHIMA ROAD KM 123.840 TO KM 138.775 KM 124.100 TO KM 1 ) ),373.07,534.41,534.41,382.5,2016,2019.0,,,,43.2466,1,0.432466,99.81
ROAD TRANSPORT AND HIGHWAYS,OF EXISTING DIMAPUR ROAD FROM DESIGN KM 152.490 ) ),429.52,794.74,794.74,321.4,2016,2022.0,,,,85.0298,1,0.850298,91.49
ROAD TRANSPORT AND HIGHWAYS,OF FOUR/SIX LANING LENGTH OF 20. ) ),387.0,,688.12,392.01,2017,2020.0,,,,77.8088,1,0.778088,100.0
ROAD TRANSPORT AND HIGHWAYS,OF DIMAPUR BYPASS PORTION) OF 4/6 LANE PAVEMENT BASIS FROM EXISTING ) ),500.09,698.81,698.81,393.53,2018,2022.0,,,,39.7368,1,0.397368,100.0
ROAD TRANSPORT AND HIGHWAYS,OF TWO LANE WITH HARD OF MERANGKONG-TAMLU- FROM EXISTING KM 20.456 TO ) ),215.79,,215.79,130.2,2018,2021.0,,,,0.0,0,0.0,79.58
ROAD TRANSPORT AND HIGHWAYS,OF TWO LANE WITH HARD OF MERANGKONG-TAMLU- FROM EXISTING KM 60.345 TO ) ),323.98,,323.98,119.94,2018,2018.0,,,,0.0,0,0.0,59.68
ROAD TRANSPORT AND HIGHWAYS,OF KOHIMA - JESSAMI SECTION II) ) ),355.79,,355.79,,2020,2022.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,OF CHANGTONGYA TO ) ),278.95,,278.95,166.29,2020,2022.0,12.0,1.0,2.0,0.0,0,0.0,100.0
ROAD TRANSPORT AND HIGHWAYS,OF KOHIMA - JESSAMI SECTION V) ) ),330.8,,330.8,171.89,2020,2021.0,,,,0.0,0,0.0,92.44
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF KOHIMA-BYPASS ROAD KM 0.00 TO KM 10.500 [D ) ),232.29,350.88,232.29,70.9,2020,2022.0,,,,51.0526,1,0.510526,14.7
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF KOHIMA-BYPASS ROAD KM10.500 TO 21.00KM [D ) ),277.44,,277.44,168.88,2020,2022.0,,,,0.0,0,0.0,67.81
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF KOHIMA-BYPASS ROAD KM21.0 TO KM32.0 [DESIG ) ),159.85,342.29,159.85,103.95,2020,2022.0,,,,114.132,1,1.14132,29.9
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE WITH PAVED OF KOHIMA-BYPASS ROAD KM32.0 TO KM43.454 [DES ) ),202.36,,202.36,75.39,2020,2022.0,,,,0.0,0,0.0,31.02
CIVIL AVIATION,AIRPORT- WIDENING OF BASIC WESTERN SIDE OF RUNWAY 80M TO 920M I/C SLOPE ST ),323.26,,323.26,24.99,2023,2026.0,,,,0.0,0,0.0,12.0
DEPARTMENT OF HIGHER EDUCATION,"OF SIKKIM UNIVERSITY PHASE-I, PACKAGE -II AT SOUTH SIKKIM ) )",314.06,,303.55,,2020,2025.0,,,,0.0,0,0.0,
POWER,VI HE PROJECT ),5748.04,,,4341.5,2019,2024.0,,,,0.0,0,0.0,67.67
POWER,IV HE PROJECT ),938.29,,,1486.3,2021,2024.0,,,,0.0,0,0.0,88.51
RAILWAYS,NEFR ),7876.92,,,8569.25,2008,2015.0,,,,0.0,0,0.0,80.0
ROAD TRANSPORT AND HIGHWAYS,AND UPGRADATION TO 2-LANE WITH PAVED INCLUDING GEOMETRIC ) ),345.38,395.59,395.59,362.61,2020,2023.0,,,,14.5376,1,0.145376,91.24
